"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"10","251.19009719489833","59.30383970993513","4.838636090645978","-0.3096646730469453","0.016999999999999904","0.0194","0.014599999999999946","1400","0.00017044696165948548","0","0.00017044696165948548","0.00017044696165948548","","","true"
"11","158.71728484279447","203.1237049596094","5.0854511174468575","-0.3050776109376745","0.008399999999999963","0.007199999999999984","0.0096","1400","0.000193468937907492","0","0.000193468937907492","0.000193468937907492","11_10:0.006130032181869582;11_12:0.0037919480143794593","11_10:660;11_12:660","true"
"12","352.4542191550126","128.69122547052135","4.952375640636805","-0.30810724962598846","0.007299999999999973","0.0062","0.008399999999999963","1400","0.00011943043190702929","0","0.00011943043190702929","0.00011943043190702929","12_13:0.0036525276744480972","12_13:660","true"
"13","326.6957530259773","266.86655765538814","4.859103328064842","-0.30860385163457754","0.0040999999999999925","0.005","0.0031999999999999806","1400","0.00010982392198643976","0","0.00010982392198643976","0.00010982392198643976","","","true"
"14","168.68333851846504","78.0904523813184","4.941622988690263","-0.30814064645232675","0.12139999999999995","0.11960000000000004","0.1232","1400","0.0008955683252205755","0","0.0008955683252205755","0.0008955683252205755","","","true"
"15","278.6695090574732","82.81812906415733","4.965353212499551","-0.3080668314927571","0.02279999999999993","0.01200000000000001","0.0336","1400","0.0001982092646642246","0","0.0001982092646642246","0.0001982092646642246","15_4:0.01123660763258233","15_4:660","true"
"16","247.57440215719757","108.43499985376563","4.9894529677034845","-0.3069834589708202","0.007900000000000018","0.009000000000000008","0.0068","1400","0.00013799102424911814","0","0.00013799102424911814","0.00013799102424911814","16_26:0.004044961498530203","16_26:660","true"
"17","261.2139588502306","204.74477990543974","5.049781258729841","-0.30571640293551305","0.00880000000000003","0.01","0.007600000000000051","1400","0.00021059046820793106","0","0.00021059046820793106","0.00021059046820793106","17_12:0.0050491596774061565;17_30:0.009038779509188938","17_12:660;17_30:660","true"
"18","300.3744135970969","254.5910211731197","4.840975046838585","-0.3096077351106761","0.11519999999999997","0.12139999999999995","0.109","1400","0.00009493558085342495","0","0.00009493558085342495","0.00009493558085342495","18_14:0.009404945219245758;18_19:0.017300437863605356","18_14:660;18_19:660","true"
"19","284.79965691455106","62.48372154755334","4.798664495166473","-0.3104821396810917","0.0353","0.041200000000000014","0.0294","1400","0.0009463259315912412","0","0.0009463259315912412","0.0009463259315912412","19_20:0.02363835349209814","19_20:660","true"
"20","191.32329333001923","39.79577075467791","4.731361887170516","-0.31047494487913385","0.014699999999999935","0.011800000000000033","0.0176","1400","0.0003143223542996567","0","0.0003143223542996567","0.0003143223542996567","","","true"
"21","62.56650577277025","18.093543889715228","4.832548717225599","0","0.028200000000000003","0.01759999999999995","0.0388","1400","0.00037019673188204536","0","0.00037019673188204536","0.00037019673188204536","21_20:0.014266175964999628","21_20:660","true"
"22","215.66343148602158","5.9018065109470115","4.90704037190954","-0.30856749090002245","0.06510000000000005","0.0318","0.09840000000000004","1400","0.009314782758662675","0","0.009314782758662675","0.009314782758662675","22_15:0.07121451289777703;22_21:0.0850908554840651;22_23:0.05050443909017854","22_15:660;22_21:660;22_23:660","true"
"23","335.8807108127237","146.42775583726535","4.811726230531351","-0.3094726717794881","0.007500000000000062","0.0088","0.006199999999999983","1400","0.00018094753743768093","0","0.00018094753743768093","0.00018094753743768093","23_24:0.013247430659880766","23_24:660","true"
"24","180.00661071909124","32.258748607464824","4.871787466839222","-0.30790006764434125","0.026599999999999957","0.0338","0.019399999999999973","1400","0.0012257920367803356","0","0.0012257920367803356","0.0012257920367803356","","","true"
"25","215.48719702495498","163.10000565251676","4.910012324083321","-0.30925101024744756","0.07589999999999997","0.07479999999999998","0.077","1400","0.00024749377530985874","0","0.00024749377530985874","0.00024749377530985874","25_26:0.004367035023069843;25_24:0.015567286810384634","25_26:660;25_24:660","true"
"26","272.003437532845","372.20039100166485","4.806389935249235","-0.31034255181494474","0.006299999999999972","0.007199999999999984","0.0054","1400","0.00014369010752392138","0","0.00014369010752392138","0.00014369010752392138","","","true"
"27","256.401062915014","123.14363786681979","4.894980971071794","-0.307954839764002","0.00550000000000006","0.005199999999999982","0.0058","1400","0.00015201098548191412","0","0.00015201098548191412","0.00015201098548191412","27_28:0.0055947270791716075;27_26:0.004880143275040355","27_28:660;27_26:660","true"
"28","192.6709383593497","32.90510575267136","4.962320466036972","-0.30771223614216503","0.0474","0.0312","0.06359999999999999","1400","0.0002900397427084275","0","0.0002900397427084275","0.0002900397427084275","28_35:0.005723338690178492;28_29:0.0065350475646563655","28_35:660;28_29:660","true"
"29","232.23696993384937","102.04761561128154","5.080054096115383","-0.3048318156702597","0.018899999999999917","0.0196","0.018199999999999994","1400","0.0003871825448707254","0","0.0003871825448707254","0.0003871825448707254","","","true"
"30","183.38670376144253","106.35044775626083","5.164711981175289","-0.30510529029941497","0.024799999999999933","0.01759999999999995","0.032","1400","0.0002665260243410551","0","0.0002665260243410551","0.0002665260243410551","30_31:0.0344468317301187;30_29:0.031850284276430246","30_31:660;30_29:660","true"
"31","120.16344057722105","68.07495034847712","5.085537184645766","-0.3057061663856436","0.026799999999999935","0.0226","0.031000000000000028","1400","0.0012464126106032035","0","0.0012464126106032035","0.0012464126106032035","31_32:0.011904921346950564","31_32:660","true"
"32","298.1059858357401","106.86851972410925","5.022133201977983","0","0.0121","0.0088","0.01539999999999997","1400","0.00019525718759707305","0","0.00019525718759707305","0.00019525718759707305","32_36:0.008321590781346061","32_36:660","true"
"33","225.3744259810255","10.409183732434157","4.959635978343528","-0.3075487407153897","0.07240000000000002","0.0444","0.10040000000000004","1400","0.00214098858775123","0","0.00214098858775123","0.00214098858775123","33_39:0.03117546649001693;33_20:0.03595313168579417","33_39:660;33_20:660","true"
"34","282.8551514602898","74.89302723392164","4.931481314146693","-0.3084054113323345","0.03820000000000001","0.03920000000000001","0.0372","1400","0.0003084252715241601","0","0.0003084252715241601","0.0003084252715241601","34_43:0.00655454629387095;34_24:0.014455466854317672","34_43:660;34_24:660","true"
"35","317.44554806782236","139.82088292196354","4.843737566872365","-0.3092847920533732","0.01849999999999996","0.0052","0.03180000000000005","1400","0.0001691869753540846","0","0.0001691869753540846","0.0001691869753540846","","","true"
"36","310.9596630654383","24.843755449290853","4.817667550127772","-0.3089418385345105","0.012900000000000023","0.01100000000000001","0.0148","1400","0.0003379697427863772","0","0.0003379697427863772","0.0003379697427863772","","","true"
"37","177.21947052039621","114.06204915362945","4.992134657015086","-0.3064620779929224","0.19219999999999993","0.2016","0.18279999999999996","1400","0.0005309611909190628","0","0.0005309611909190628","0.0005309611909190628","37_38:0.006165459435203774","37_38:660","true"
"38","261.726257368545","128.35932900137146","4.902080126023233","-0.30920867079602293","0.028899999999999926","0.03320000000000001","0.0246","1400","0.000194724792920513","0","0.000194724792920513","0.000194724792920513","38_39:0.006251264762590386","38_39:660","true"
"39","251.23457090172786","77.10722069519582","4.791299314885385","-0.31023418400882685","0.07669999999999999","0.0992","0.054200000000000026","1400","0.0004621120783250354","0","0.0004621120783250354","0.0004621120783250354","39_40:0.0073192599310957784","39_40:660","true"
"40","225.75091291167507","45.992672791045834","4.919605257095322","-0.3085921421297084","0.009199999999999986","0.009399999999999964","0.009","1400","0.00019998276625422446","0","0.00019998276625422446","0.00019998276625422446","40_41:0.008112124581607899","40_41:660","true"
"41","156.43307880735503","55.44053491144647","4.737742776922547","-0.31209532492765457","0.010800000000000032","0.014000000000000012","0.0076","1400","0.0004535290182683106","0","0.0004535290182683106","0.0004535290182683106","","","true"
"42","327.6943477852763","10.673422625077649","4.834958194749037","-0.310463699475195","0.006399999999999961","0.007399999999999962","0.0054","1400","0.00021813333940632436","0","0.00021813333940632436","0.00021813333940632436","42_41:0.0072300924237442","42_41:660","true"
"43","213.12321070110673","325.47526971228797","4.749204658647373","0","0.015199999999999991","0.0192","0.011199999999999988","1400","0.0002280622227010342","0","0.0002280622227010342","0.0002280622227010342","43_42:0.003863596747195275","43_42:660","true"
"44","271.1678769791152","197.5675654695282","4.935725117785162","-0.3084154153807749","0.007000000000000006","0.008199999999999985","0.0058","1400","0.00024933817935353684","0","0.00024933817935353684","0.00024933817935353684","44_43:0.006848282029238623;44_45:0.006941687263228025","44_43:660;44_45:660","true"
"45","395.21461230553126","214.30204428546884","4.715827657864489","-0.31153069462909244","0.009600000000000053","0.012599999999999945","0.0066","1400","0.00024862192947170753","0","0.00024862192947170753","0.00024862192947170753","","","true"
"46","347.01296352207527","279.06604583539996","4.803622029939269","-0.31099096161556306","0.007900000000000018","0.006","0.009800000000000031","1400","0.00011083418764606384","0","0.00011083418764606384","0.00011083418764606384","46_45:0.004170645415413593","46_45:660","true"
"47","241.86772859876373","31.36018592579941","4.938379325745094","-0.3085997970326283","0.05069999999999997","0.04","0.06140000000000001","1400","0.0002851332658940509","0","0.0002851332658940509","0.0002851332658940509","47_35:0.006633385244497192;47_46:0.006487362975299449","47_35:660;47_46:660","true"
