"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"21","454.1756933066126","148.88920804124862","4.568038479592737","0","0.015800000000000036","0.023800000000000043","0.0078","1400","0.00026920890659485903","0","0.00026920890659485903","0.00026920890659485903","21_20:0.008654247332607307;21_22:0.009386391993887383","21_20:660;21_22:660","true"
"22","327.756149981924","224.2847904832363","4.768033392259528","-0.31007976218914873","0.06699999999999995","0.06640000000000001","0.0676","1400","0.00014330117711920643","0","0.00014330117711920643","0.00014330117711920643","22_15:0.00569785561966038","22_15:660","true"
"23","338.306837596134","12.513147089539473","4.8260230163799855","-0.30896459047936825","0.06000000000000005","0.0412","0.07879999999999998","1400","0.00032919297381275674","0","0.00032919297381275674","0.00032919297381275674","23_22:0.013878060136461978","23_22:660","true"
"24","229.02259194000246","58.56104294170515","5.019789974478814","-0.30541425054676014","0.21910000000000007","0.2318","0.2064","1400","0.00021628809655286667","0","0.00021628809655286667","0.00021628809655286667","24_34:0.00916417504690653;24_23:0.025333695420552305;24_25:0.006247225086118219","24_34:660;24_23:660;24_25:660","true"
"25","183.6513740413339","248.98814028723064","4.841825086920083","-0.3086237066221388","0.0051000000000001044","0.0076","0.0026000000000000467","1400","0.000257995273850881","0","0.000257995273850881","0.000257995273850881","25_26:0.005852759958874909","25_26:660","true"
"26","311.1737391373443","19.58572637890318","4.763741627696216","-0.30945351875840205","0.008299999999999974","0.0106","0.006000000000000005","1400","0.00042020327973029927","0","0.00042020327973029927","0.00042020327973029927","","","true"
"27","208.64705057790616","123.71316935908436","4.8865480873723675","0","0.013600000000000056","0.014000000000000012","0.0132","1400","0.00017583356341436987","0","0.00017583356341436987","0.00017583356341436987","27_28:0.004500114350922402;27_26:0.005723390432103459","27_28:660;27_26:660","true"
"28","256.8721961904944","29.095065619102982","4.701269719761391","-0.3099488275329216","0.005400000000000071","0.006199999999999983","0.0046","1400","0.0005438960866963057","0","0.0005438960866963057","0.0005438960866963057","28_35:0.012627662748480373;28_29:0.005321223680895881","28_35:660;28_29:660","true"
"29","385.4654279200361","270.1097440229738","4.744304548230094","-0.31029420415842046","0.02279999999999993","0.024599999999999955","0.021","1400","0.00015584225733663098","0","0.00015584225733663098","0.00015584225733663098","","","true"
"30","219.27190283219014","119.65486091999446","4.92227473057182","-0.30754311932801587","0.04520000000000002","0.04820000000000002","0.0422","1400","0.00024768129355386424","0","0.00024768129355386424","0.00024768129355386424","30_29:0.005196181942911521","30_29:660","true"
"31","317.22934850186545","246.54885222443124","4.83977580403675","-0.3084406817400851","0.008299999999999974","0.007800000000000029","0.0088","1400","0.00010630206634223104","0","0.00010630206634223104","0.00010630206634223104","31_30:0.005090758958423397;31_32:0.008513547384407266","31_30:660;31_32:660","true"
"32","320.1252685765615","178.1983467570038","4.66507954819762","-0.30998842157162854","0.008299999999999974","0.01","0.00660000000000005","1400","0.0003595560500114495","0","0.0003595560500114495","0.0003595560500114495","","","true"
